env,label,metric,phase,point,run_dir,update,value
reacher,reacher_seed0,model/total_loss,world_model,1,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,13.400833129882812
reacher,reacher_seed0,model/total_loss,world_model,2,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.8162580728530884
reacher,reacher_seed0,model/total_loss,world_model,3,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.4556792676448822
reacher,reacher_seed0,model/total_loss,world_model,4,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.3680111765861511
reacher,reacher_seed0,model/total_loss,world_model,5,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.34019070863723755
reacher,reacher_seed0,model/total_loss,world_model,6,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.28449758887290955
reacher,reacher_seed0,model/total_loss,world_model,7,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.2404375821352005
reacher,reacher_seed0,model/total_loss,world_model,8,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.21867190301418304
reacher,reacher_seed0,model/total_loss,world_model,9,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.20372572541236877
reacher,reacher_seed0,model/total_loss,world_model,10,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.20262888073921204
reacher,reacher_seed0,model/total_loss,world_model,11,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.19876693189144135
reacher,reacher_seed0,model/total_loss,world_model,12,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.21508240699768066
reacher,reacher_seed0,model/total_loss,world_model,13,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.17945122718811035
reacher,reacher_seed0,model/total_loss,world_model,14,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3250,0.1908050924539566
reacher,reacher_seed0,model/total_loss,world_model,15,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3500,0.17656700313091278
reacher,reacher_seed0,model/total_loss,world_model,16,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3750,0.16961170732975006
reacher,reacher_seed0,model/total_loss,world_model,17,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,4000,0.17177022993564606
reacher,reacher_seed0,model/total_loss,world_model,18,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,4250,0.16710156202316284
reacher,reacher_seed0,model/total_loss,world_model,19,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,4500,0.16473209857940674
reacher,reacher_seed0,model/total_loss,world_model,20,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,4750,0.1525546908378601
reacher,reacher_seed0,model/total_loss,world_model,21,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,5000,0.15262587368488312
reacher,reacher_seed0,model/total_loss,world_model,22,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,5250,0.1534118503332138
reacher,reacher_seed0,model/total_loss,world_model,23,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,5500,0.14413121342658997
reacher,reacher_seed0,model/total_loss,world_model,24,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,5750,0.14859315752983093
reacher,reacher_seed0,model/total_loss,world_model,25,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,6000,0.1472966969013214
reacher,reacher_seed0,model/total_loss,world_model,26,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,6250,0.13455753028392792
reacher,reacher_seed0,model/total_loss,world_model,27,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,6500,0.1422569751739502
reacher,reacher_seed0,model/total_loss,world_model,28,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,6750,0.14877794682979584
reacher,reacher_seed0,model/total_loss,world_model,29,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,7000,0.13108700513839722
reacher,reacher_seed0,model/total_loss,world_model,30,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,7250,0.1293165683746338
reacher,reacher_seed0,model/total_loss,world_model,31,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,7500,0.13450631499290466
reacher,reacher_seed0,model/total_loss,world_model,32,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,7750,0.12003501504659653
reacher,reacher_seed0,model/total_loss,world_model,33,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,8000,0.128865584731102
reacher,reacher_seed0,model/total_loss,world_model,34,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,8250,0.1356663852930069
reacher,reacher_seed0,model/total_loss,world_model,35,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,8500,0.12375245988368988
reacher,reacher_seed0,model/total_loss,world_model,36,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,8750,0.12920528650283813
reacher,reacher_seed0,model/total_loss,world_model,37,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,9000,0.12044813483953476
reacher,reacher_seed0,model/total_loss,world_model,38,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,9250,0.12538491189479828
reacher,reacher_seed0,model/total_loss,world_model,39,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,9500,0.12232766300439835
reacher,reacher_seed0,model/total_loss,world_model,40,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,9750,0.13043001294136047
reacher,reacher_seed0,model/total_loss,world_model,41,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,10000,0.12660236656665802
reacher,reacher_seed0,model/total_loss,world_model,42,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,10250,0.12709499895572662
reacher,reacher_seed0,model/total_loss,world_model,43,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,10500,0.12637959420681
reacher,reacher_seed0,model/total_loss,world_model,44,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,10750,0.10694994032382965
reacher,reacher_seed0,model/total_loss,world_model,45,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,11000,0.12199853360652924
reacher,reacher_seed0,model/total_loss,world_model,46,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,11250,0.12045565992593765
reacher,reacher_seed0,model/total_loss,world_model,47,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,11500,0.10959868133068085
reacher,reacher_seed0,model/total_loss,world_model,48,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,11750,0.12091854214668274
reacher,reacher_seed0,model/total_loss,world_model,49,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,12000,0.11719191074371338
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,50,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.20084848999977112
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,51,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.200895294547081
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,52,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.23328930139541626
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,53,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.2519318759441376
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,54,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.24285408854484558
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,55,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.19602756202220917
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,56,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.23427273333072662
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,57,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.19949299097061157
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,58,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.23223641514778137
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,59,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.1986582726240158
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,60,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.18767206370830536
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,61,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.15552747249603271
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,62,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.2313215434551239
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,63,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.17731787264347076
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,64,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.23720499873161316
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,65,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.1987612247467041
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,66,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.20481392741203308
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,67,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.18071353435516357
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,68,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.22686244547367096
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,69,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.2662148177623749
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,70,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.21423883736133575
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,71,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.19482146203517914
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,72,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.17319591343402863
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,73,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.19868069887161255
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,74,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.19898483157157898
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,75,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.20561042428016663
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,76,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.17266935110092163
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,77,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.1645345836877823
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,78,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.16185273230075836
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,79,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.17454694211483002
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,80,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.17566946148872375
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,81,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.20978330075740814
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,82,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.17737266421318054
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,83,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.1830293983221054
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,84,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.19334711134433746
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,85,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.15824954211711884
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,86,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.17627249658107758
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,87,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.13338927924633026
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,88,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.17406362295150757
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,89,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.15215668082237244
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,90,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.2228393256664276
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,91,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.17937220633029938
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,92,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.18989847600460052
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,93,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.1825256496667862
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,94,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.18431128561496735
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,95,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.17136135697364807
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,96,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.19679532945156097
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,97,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.17670689523220062
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,98,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.1685449630022049
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,99,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.1770048588514328
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,100,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.18402890861034393
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,101,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.17964515089988708
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,102,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.1638588011264801
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,103,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.19522231817245483
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,104,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.19858281314373016
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,105,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.20543400943279266
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,106,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.2187996804714203
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,107,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.1592801809310913
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,108,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.26249152421951294
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,109,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.20418667793273926
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,110,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.1994158774614334
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,111,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.19733265042304993
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,112,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.1848994493484497
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,113,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.18864865601062775
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,114,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.1868809014558792
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,115,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.20090706646442413
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,116,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.19765321910381317
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,117,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.1520024985074997
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,118,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.1784127652645111
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,119,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.18907609581947327
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,120,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.18747973442077637
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,121,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.1552346646785736
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,122,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.18073028326034546
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,123,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.20942117273807526
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,124,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.17437894642353058
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,125,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.15787293016910553
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,126,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.21936661005020142
